,YogaPoses,ImageNumbers,label of class_6,label of class_20,label of class_82,_merge
5592,Locust_Pose_or_Salabhasana_,599.jpg,4,14,38,both
8935,Supported_Headstand_pose_or_Salamba_Sirsasana_,532.jpg,3,11,63,both
8934,Supported_Headstand_pose_or_Salamba_Sirsasana_,403.jpg,3,11,63,both
11554,Cobra_Pose_or_Bhujangasana_,3_630.jpg,4,14,10,both
13581,Crane_(Crow)_Pose_or_Bakasana_,1_19.jpg,2,9,14,both
10309,Warrior_III_Pose_or_Virabhadrasana_III_,288.jpg,0,3,73,both
10809,Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,580.jpg,0,1,77,both
13366,Cat_Cow_Pose_or_Marjaryasana_,1_20.jpg,5,18,7,both
3915,Fish_Pose_or_Matsyasana_,491.jpg,4,13,25,both
4071,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana_,495.jpg,4,16,26,both
3495,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_638.jpg,0,2,22,both
13713,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,3_204.jpg,0,2,21,both
6570,Rajakapotasana,0_577.jpg,1,8,47,both
3708,Feathered_Peacock_Pose_or_Pincha_Mayurasana_,1_108.jpg,3,11,23,both
13709,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,3_91.jpg,0,2,21,both
3858,Firefly_Pose_or_Tittibhasana_,31.jpg,2,9,24,both
1849,Cobra_Pose_or_Bhujangasana_,3_250.jpg,4,14,10,both
14125,Lord_of_the_Dance_Pose_or_Natarajasana_,162.jpg,0,3,39,both
1827,Cobra_Pose_or_Bhujangasana_,1_264.jpg,4,14,10,both
9134,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana_,2_0_240.jpg,3,11,64,both
2658,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana_,437.jpg,0,1,17,both
4622,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,1_298.jpg,1,5,30,both
12754,Supported_Headstand_pose_or_Salamba_Sirsasana_,576.jpg,3,11,63,both
11276,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,139.jpg,1,5,1,both
14430,Side_Crane_(Crow)_Pose_or_Parsva_Bakasana_,2_323.jpg,2,10,55,both
8395,Standing_Forward_Bend_pose_or_Uttanasana_,1_64.jpg,0,1,60,both
11747,Eight-Angle_Pose_or_Astavakrasana_,281.jpg,2,10,19,both
3110,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_577.jpg,0,2,21,both
12947,Upward_Plank_Pose_or_Purvottanasana_,203.jpg,5,17,71,both
14497,Sitting pose 1 (normal),1_144.jpg,1,4,57,both
2329,Cow_Face_Pose_or_Gomukhasana_,0_241.jpg,1,5,13,both
1496,Child_Pose_or_Balasana_,195.jpg,4,14,9,both
10203,Virasana_or_Vajrasana,2_358.jpg,1,5,72,both
9237,Supta_Baddha_Konasana_,2_0_422.jpg,4,13,65,both
5995,Low_Lunge_pose_or_Anjaneyasana_,424.jpg,0,2,40,both
8681,Standing_big_toe_hold_pose_or_Utthita_Padangusthasana,258.jpg,0,3,62,both
8422,Standing_Forward_Bend_pose_or_Uttanasana_,1_571.jpg,0,1,60,both
2353,Crane_(Crow)_Pose_or_Bakasana_,1_269.jpg,2,9,14,both
4973,Happy_Baby_Pose_or_Ananda_Balasana_,359.jpg,4,13,33,both
12312,Plank_Pose_or_Kumbhakasana_,356.jpg,4,16,44,both
13325,Camel_Pose_or_Ustrasana_,49.jpg,5,17,6,both
8470,Standing_Forward_Bend_pose_or_Uttanasana_,1_121.jpg,0,1,60,both
4355,Garland_Pose_or_Malasana_,0_48.jpg,1,4,28,both
5904,Low_Lunge_pose_or_Anjaneyasana_,57.jpg,0,2,40,both
8849,Supported_Headstand_pose_or_Salamba_Sirsasana_,268.jpg,3,11,63,both
13446,Cobra_Pose_or_Bhujangasana_,1_495.jpg,4,14,10,both
9184,Supta_Baddha_Konasana_,1_402.jpg,4,13,65,both
9250,Supta_Baddha_Konasana_,2_393.jpg,4,13,65,both
7456,Side_Crane_(Crow)_Pose_or_Parsva_Bakasana_,2_7.jpg,2,10,55,both
9067,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana_,2_0_88.jpg,3,11,64,both
71,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,198.jpg,1,5,1,both
14862,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,280.jpg,5,17,69,both
5769,Lord_of_the_Dance_Pose_or_Natarajasana_,468.jpg,0,3,39,both
479,Bow_Pose_or_Dhanurasana_,382.jpg,5,19,4,both
4671,Half_Moon_Pose_or_Ardha_Chandrasana_,336.jpg,0,2,31,both
5171,Heron_Pose_or_Krounchasana_,2_60.jpg,1,8,35,both
7652,Side_Plank_Pose_or_Vasisthasana_,148.jpg,4,15,56,both
13799,Feathered_Peacock_Pose_or_Pincha_Mayurasana_,1_63.jpg,3,11,23,both
10932,Wild_Thing_pose_or_Camatkarasana_,355.jpg,5,17,78,both
3710,Feathered_Peacock_Pose_or_Pincha_Mayurasana_,1_496.jpg,3,11,23,both
2027,Corpse_Pose_or_Savasana_,338.jpg,4,13,12,both
13800,Feathered_Peacock_Pose_or_Pincha_Mayurasana_,1_158.jpg,3,11,23,both
1088,Cat_Cow_Pose_or_Marjaryasana_,2_373.jpg,5,18,7,both
14680,Supported_Headstand_pose_or_Salamba_Sirsasana_,85.jpg,3,11,63,both
4795,Half_Moon_Pose_or_Ardha_Chandrasana_,390.jpg,0,2,31,both
14691,Supported_Headstand_pose_or_Salamba_Sirsasana_,482.jpg,3,11,63,both
4596,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,1_76.jpg,1,5,30,both
6916,Scorpion_pose_or_vrischikasana,2_399.jpg,3,12,51,both
7328,Side-Reclining_Leg_Lift_pose_or_Anantasana_,69.jpg,4,15,54,both
5586,Locust_Pose_or_Salabhasana_,0_474.jpg,4,14,38,both
5144,Heron_Pose_or_Krounchasana_,2_156.jpg,1,8,35,both
7840,Sitting pose 1 (normal),1_527.jpg,1,4,57,both
146,Boat_Pose_or_Paripurna_Navasana_,173.jpg,5,19,2,both
5851,Lord_of_the_Dance_Pose_or_Natarajasana_,128.jpg,0,3,39,both
11201,viparita_virabhadrasana_or_reverse_warrior_pose,153.jpg,0,2,81,both
2422,Crane_(Crow)_Pose_or_Bakasana_,1_195.jpg,2,9,14,both
5284,Intense_Side_Stretch_Pose_or_Parsvottanasana_,0_272.jpg,0,1,36,both
14624,Standing_Forward_Bend_pose_or_Uttanasana_,1_388.jpg,0,1,60,both
12813,Supta_Baddha_Konasana_,2_66.jpg,4,13,65,both
14744,Supta_Baddha_Konasana_,3_253.jpg,4,13,65,both
9921,Upward_Facing_Two-Foot_Staff_Pose_or_Dwi_Pada_Viparita_Dandasana_,24.jpg,5,17,70,both
4123,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana_,261.jpg,4,16,26,both
8734,Standing_big_toe_hold_pose_or_Utthita_Padangusthasana,0_378.jpg,0,3,62,both
14141,Lord_of_the_Dance_Pose_or_Natarajasana_,449.jpg,0,3,39,both
6866,Scorpion_pose_or_vrischikasana,1_111.jpg,3,12,51,both
10594,Warrior_I_Pose_or_Virabhadrasana_I_,1_211.jpg,0,2,75,both
475,Bow_Pose_or_Dhanurasana_,612.jpg,5,19,4,both
4866,Handstand_pose_or_Adho_Mukha_Vrksasana_,206.jpg,3,11,32,both
14732,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana_,2_171.jpg,3,11,64,both
942,Camel_Pose_or_Ustrasana_,0_437.jpg,5,17,6,both
8328,Staff_Pose_or_Dandasana_,0_598.jpg,1,4,59,both
15074,Wild_Thing_pose_or_Camatkarasana_,48.jpg,5,17,78,both
1614,Cobra_Pose_or_Bhujangasana_,1_74.jpg,4,14,10,both
1074,Cat_Cow_Pose_or_Marjaryasana_,2_303.jpg,5,18,7,both
7367,Side_Crane_(Crow)_Pose_or_Parsva_Bakasana_,3_588.jpg,2,10,55,both
10508,Warrior_II_Pose_or_Virabhadrasana_II_,541.jpg,0,3,74,both
4619,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,1_457.jpg,1,5,30,both
9955,Upward_Plank_Pose_or_Purvottanasana_,389.jpg,5,17,71,both
6603,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana_,357.jpg,4,13,48,both
1870,Cobra_Pose_or_Bhujangasana_,1_111.jpg,4,14,10,both
1056,Cat_Cow_Pose_or_Marjaryasana_,2_0_123.jpg,5,18,7,both
4824,Half_Moon_Pose_or_Ardha_Chandrasana_,153.jpg,0,2,31,both
11345,Bow_Pose_or_Dhanurasana_,417.jpg,5,19,4,both
9685,Tree_Pose_or_Vrksasana_,0_265.jpg,0,0,68,both
12486,Seated_Forward_Bend_pose_or_Paschimottanasana_,29.jpg,1,7,52,both
11942,Fish_Pose_or_Matsyasana_,331.jpg,4,13,25,both
11528,Cobra_Pose_or_Bhujangasana_,3_460.jpg,4,14,10,both
2216,Cow_Face_Pose_or_Gomukhasana_,12.jpg,1,5,13,both
9844,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,517.jpg,5,17,69,both
13141,Wild_Thing_pose_or_Camatkarasana_,86.jpg,5,17,78,both
8159,Split pose,3_35.jpg,1,6,58,both
3436,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,2_400.jpg,0,2,22,both
12857,Tortoise_Pose,2_22.jpg,1,7,67,both
3320,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_137.jpg,0,2,21,both
6476,Rajakapotasana,0_411.jpg,1,8,47,both
14373,Seated_Forward_Bend_pose_or_Paschimottanasana_,298.jpg,1,7,52,both
11317,Bound_Angle_Pose_or_Baddha_Konasana_,1_379.jpg,1,4,3,both
9626,Tree_Pose_or_Vrksasana_,222.jpg,0,0,68,both
4183,Frog_Pose_or_Bhekasana,2_165.jpg,4,14,27,both
11490,Child_Pose_or_Balasana_,294.jpg,4,14,9,both
12420,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana_,1_174.jpg,1,7,49,both
10631,Warrior_I_Pose_or_Virabhadrasana_I_,1_256.jpg,0,2,75,both
15105,Wind_Relieving_pose_or_Pawanmuktasana,45.jpg,4,13,79,both
6030,Noose_Pose_or_Pasasana_,26.jpg,1,4,41,both
12543,Side_Plank_Pose_or_Vasisthasana_,15.jpg,4,15,56,both
7201,Seated_Forward_Bend_pose_or_Paschimottanasana_,181.jpg,1,7,52,both
5025,Happy_Baby_Pose_or_Ananda_Balasana_,96.jpg,4,13,33,both
9480,Tortoise_Pose,1_117.jpg,1,7,67,both
13358,Cat_Cow_Pose_or_Marjaryasana_,1_49.jpg,5,18,7,both
4890,Handstand_pose_or_Adho_Mukha_Vrksasana_,88.jpg,3,11,32,both
9754,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,214.jpg,5,17,69,both
2101,Corpse_Pose_or_Savasana_,435.jpg,4,13,12,both
1069,Cat_Cow_Pose_or_Marjaryasana_,1_155.jpg,5,18,7,both
3730,Feathered_Peacock_Pose_or_Pincha_Mayurasana_,2_20.jpg,3,11,23,both
3200,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,3_198.jpg,0,2,21,both
4981,Happy_Baby_Pose_or_Ananda_Balasana_,270.jpg,4,13,33,both
6268,Plow_Pose_or_Halasana_,0_284.jpg,3,12,45,both
681,Bridge_Pose_or_Setu_Bandha_Sarvangasana_,120.jpg,5,17,5,both
11424,Cat_Cow_Pose_or_Marjaryasana_,1_194.jpg,5,18,7,both
7088,Seated_Forward_Bend_pose_or_Paschimottanasana_,357.jpg,1,7,52,both
10592,Warrior_I_Pose_or_Virabhadrasana_I_,1_30.jpg,0,2,75,both
567,Bow_Pose_or_Dhanurasana_,0_108.jpg,5,19,4,both
3074,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,3_114.jpg,0,2,21,both
10559,Warrior_I_Pose_or_Virabhadrasana_I_,1_530.jpg,0,2,75,both
4856,Handstand_pose_or_Adho_Mukha_Vrksasana_,236.jpg,3,11,32,both
12773,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana_,2_27.jpg,3,11,64,both
12855,Tortoise_Pose,2_144.jpg,1,7,67,both
11805,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_355.jpg,0,2,21,both
4358,Garland_Pose_or_Malasana_,178.jpg,1,4,28,both
2795,Eagle_Pose_or_Garudasana_,103.jpg,0,0,18,both
14212,Pigeon_Pose_or_Kapotasana_,16.jpg,5,17,43,both
2884,Eagle_Pose_or_Garudasana_,111.jpg,0,0,18,both
2345,Crane_(Crow)_Pose_or_Bakasana_,1_458.jpg,2,9,14,both
9526,Tree_Pose_or_Vrksasana_,0_102.jpg,0,0,68,both
11864,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_417.jpg,0,2,22,both
7936,Sitting pose 1 (normal),1_191.jpg,1,4,57,both
11139,Yogic_sleep_pose,1_175.jpg,4,13,80,both
6074,Peacock_Pose_or_Mayurasana_,0_286.jpg,4,16,42,both
5384,Legs-Up-the-Wall_Pose_or_Viparita_Karani_,59.jpg,3,11,37,both
8078,Sitting pose 1 (normal),3_0_406.jpg,1,4,57,both
6853,Scale_Pose_or_Tolasana_,1_111.jpg,2,9,50,both
747,Bridge_Pose_or_Setu_Bandha_Sarvangasana_,0_442.jpg,5,17,5,both
7120,Seated_Forward_Bend_pose_or_Paschimottanasana_,0_693.jpg,1,7,52,both
4056,Fish_Pose_or_Matsyasana_,0_510.jpg,4,13,25,both
9728,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,0_70.jpg,5,17,69,both
452,Bow_Pose_or_Dhanurasana_,590.jpg,5,19,4,both
9719,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,152.jpg,5,17,69,both
2739,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana_,110.jpg,0,1,17,both
7199,Seated_Forward_Bend_pose_or_Paschimottanasana_,252.jpg,1,7,52,both
3942,Fish_Pose_or_Matsyasana_,368.jpg,4,13,25,both
7258,Shoulder-Pressing_Pose_or_Bhujapidasana_,129.jpg,2,9,53,both
7153,Seated_Forward_Bend_pose_or_Paschimottanasana_,599.jpg,1,7,52,both
12365,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II,2_104.jpg,2,10,46,both
10256,Virasana_or_Vajrasana,1_0_133.jpg,1,5,72,both
9441,Tortoise_Pose,2_154.jpg,1,7,67,both
3835,Firefly_Pose_or_Tittibhasana_,38.jpg,2,9,24,both
11824,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_512.jpg,0,2,21,both
6686,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana_,1_269.jpg,1,7,49,both
11873,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_235.jpg,0,2,22,both
3171,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_241.jpg,0,2,21,both
6523,Rajakapotasana,363.jpg,1,8,47,both
10317,Warrior_III_Pose_or_Virabhadrasana_III_,0_261.jpg,0,3,73,both
5428,Legs-Up-the-Wall_Pose_or_Viparita_Karani_,263.jpg,3,11,37,both
8095,Split pose,1_441.jpg,1,6,58,both
13741,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,2_181.jpg,0,2,22,both
11488,Child_Pose_or_Balasana_,208.jpg,4,14,9,both
13786,Feathered_Peacock_Pose_or_Pincha_Mayurasana_,2_82.jpg,3,11,23,both
10535,Warrior_II_Pose_or_Virabhadrasana_II_,96.jpg,0,3,74,both
12784,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana_,2_504.jpg,3,11,64,both
10659,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana_,2_390.jpg,1,6,76,both
7874,Sitting pose 1 (normal),3_541.jpg,1,4,57,both
9997,Upward_Plank_Pose_or_Purvottanasana_,274.jpg,5,17,71,both
10903,Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,281.jpg,0,1,77,both
13650,Eagle_Pose_or_Garudasana_,413.jpg,0,0,18,both
3339,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,3_328.jpg,0,2,21,both
9791,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,530.jpg,5,17,69,both
3017,Eight-Angle_Pose_or_Astavakrasana_,55.jpg,2,10,19,both
12246,Lord_of_the_Dance_Pose_or_Natarajasana_,401.jpg,0,3,39,both
15122,viparita_virabhadrasana_or_reverse_warrior_pose,492.jpg,0,2,81,both
2357,Crane_(Crow)_Pose_or_Bakasana_,1_209.jpg,2,9,14,both
8305,Staff_Pose_or_Dandasana_,0_303.jpg,1,4,59,both
13545,Cow_Face_Pose_or_Gomukhasana_,444.jpg,1,5,13,both
10405,Warrior_II_Pose_or_Virabhadrasana_II_,561.jpg,0,3,74,both
10234,Virasana_or_Vajrasana,1_0_108.jpg,1,5,72,both
13722,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_575.jpg,0,2,21,both
14944,Warrior_III_Pose_or_Virabhadrasana_III_,186.jpg,0,3,73,both
4672,Half_Moon_Pose_or_Ardha_Chandrasana_,131.jpg,0,2,31,both
12832,Supta_Virasana_Vajrasana,4_120.jpg,4,13,66,both
15093,Wind_Relieving_pose_or_Pawanmuktasana,231.jpg,4,13,79,both
12889,Tree_Pose_or_Vrksasana_,458.jpg,0,0,68,both
4546,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,1_182.jpg,1,5,30,both
12747,Supported_Headstand_pose_or_Salamba_Sirsasana_,419.jpg,3,11,63,both
2493,Crane_(Crow)_Pose_or_Bakasana_,1_0_23.jpg,2,9,14,both
9030,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana_,2_501.jpg,3,11,64,both
2656,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana_,399.jpg,0,1,17,both
4904,Handstand_pose_or_Adho_Mukha_Vrksasana_,319.jpg,3,11,32,both
11040,Wind_Relieving_pose_or_Pawanmuktasana,0_149.jpg,4,13,79,both
13850,Fish_Pose_or_Matsyasana_,294.jpg,4,13,25,both
9121,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana_,2_597.jpg,3,11,64,both
2283,Cow_Face_Pose_or_Gomukhasana_,85.jpg,1,5,13,both
11866,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_420.jpg,0,2,22,both
13195,Akarna_Dhanurasana,74.jpg,1,8,0,both
5597,Locust_Pose_or_Salabhasana_,225.jpg,4,14,38,both
14815,Tree_Pose_or_Vrksasana_,296.jpg,0,0,68,both
14914,Virasana_or_Vajrasana,2_27.jpg,1,5,72,both
10790,Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,75.jpg,0,1,77,both
119,Boat_Pose_or_Paripurna_Navasana_,646.jpg,5,19,2,both
4689,Half_Moon_Pose_or_Ardha_Chandrasana_,264.jpg,0,2,31,both
10771,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana_,2_0_261.jpg,1,6,76,both
11008,Wild_Thing_pose_or_Camatkarasana_,314.jpg,5,17,78,both
7303,Shoulder-Pressing_Pose_or_Bhujapidasana_,134.jpg,2,9,53,both
6011,Low_Lunge_pose_or_Anjaneyasana_,0_5.jpg,0,2,40,both
6947,Scorpion_pose_or_vrischikasana,1_0_106.jpg,3,12,51,both
3140,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_24.jpg,0,2,21,both
12491,Seated_Forward_Bend_pose_or_Paschimottanasana_,640.jpg,1,7,52,both
15045,Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,144.jpg,0,1,77,both
12903,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,600.jpg,5,17,69,both
2897,Eagle_Pose_or_Garudasana_,402.jpg,0,0,18,both
15095,Wind_Relieving_pose_or_Pawanmuktasana,246.jpg,4,13,79,both
1556,Cobra_Pose_or_Bhujangasana_,2_529.jpg,4,14,10,both
11638,Crane_(Crow)_Pose_or_Bakasana_,2_529.jpg,2,9,14,both
3423,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,2_289.jpg,0,2,22,both
12650,Split pose,1_586.jpg,1,6,58,both
2495,Crane_(Crow)_Pose_or_Bakasana_,1_0_15.jpg,2,9,14,both
6658,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana_,1_198.jpg,1,7,49,both
12386,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana_,33.jpg,4,13,48,both
1455,Child_Pose_or_Balasana_,219.jpg,4,14,9,both
7248,Seated_Forward_Bend_pose_or_Paschimottanasana_,277.jpg,1,7,52,both
4925,Handstand_pose_or_Adho_Mukha_Vrksasana_,91.jpg,3,11,32,both
14665,Standing_big_toe_hold_pose_or_Utthita_Padangusthasana,35.jpg,0,3,62,both
10217,Virasana_or_Vajrasana,2_122.jpg,1,5,72,both
10278,Warrior_III_Pose_or_Virabhadrasana_III_,490.jpg,0,3,73,both
5790,Lord_of_the_Dance_Pose_or_Natarajasana_,135.jpg,0,3,39,both
10792,Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,280.jpg,0,1,77,both
1692,Cobra_Pose_or_Bhujangasana_,1_256.jpg,4,14,10,both
12607,Sitting pose 1 (normal),3_373.jpg,1,4,57,both
5702,Lord_of_the_Dance_Pose_or_Natarajasana_,105.jpg,0,3,39,both
1263,Chair_Pose_or_Utkatasana_,60.jpg,0,0,8,both
3955,Fish_Pose_or_Matsyasana_,147.jpg,4,13,25,both
4566,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,1_81.jpg,1,5,30,both
13461,Cobra_Pose_or_Bhujangasana_,2_297.jpg,4,14,10,both
2595,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana_,568.jpg,0,1,17,both
69,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,26.jpg,1,5,1,both
778,Camel_Pose_or_Ustrasana_,566.jpg,5,17,6,both
15003,Warrior_I_Pose_or_Virabhadrasana_I_,1_306.jpg,0,2,75,both
6035,Peacock_Pose_or_Mayurasana_,440.jpg,4,16,42,both
2402,Crane_(Crow)_Pose_or_Bakasana_,1_294.jpg,2,9,14,both
126,Boat_Pose_or_Paripurna_Navasana_,0_567.jpg,5,19,2,both
9081,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana_,2_0_235.jpg,3,11,64,both
793,Camel_Pose_or_Ustrasana_,181.jpg,5,17,6,both
14063,Heron_Pose_or_Krounchasana_,1_26.jpg,1,8,35,both
2411,Crane_(Crow)_Pose_or_Bakasana_,1_403.jpg,2,9,14,both
11164,Yogic_sleep_pose,1_202.jpg,4,13,80,both
14193,Low_Lunge_pose_or_Anjaneyasana_,165.jpg,0,2,40,both
12901,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,182.jpg,5,17,69,both
11450,Cat_Cow_Pose_or_Marjaryasana_,2_292.jpg,5,18,7,both
1509,Child_Pose_or_Balasana_,388.jpg,4,14,9,both
4629,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,1_423.jpg,1,5,30,both
8811,Supported_Headstand_pose_or_Salamba_Sirsasana_,428.jpg,3,11,63,both
